Date,puck1,puck2,msgs1,msgs2
11:11:35 AM,1321,1581,,
11:11:36 AM,1321,1581,,
11:11:37 AM,1339,1581,,
11:11:38 AM,1339,1581,,
11:11:39 AM,1339,1581,,
11:11:40 AM,1307,1581,,
11:11:41 AM,1307,1581,,
11:11:42 AM,1307,1581,,
11:11:43 AM,1309,1581,,
11:11:44 AM,1309,1581,,
11:11:45 AM,1309,1581,,
11:11:46 AM,1307,1539,,
11:11:47 AM,1303,1583,,
11:11:48 AM,1303,1551,,
11:11:49 AM,1303,1557,,
11:11:50 AM,1357,1599,,
11:11:51 AM,1347,1599,,
11:11:52 AM,1347,1599,,
11:11:53 AM,1347,1567,,
11:11:54 AM,1347,1567,,
11:11:55 AM,1293,1589,,
11:11:56 AM,1341,1559,,
11:11:57 AM,1299,1553,,
11:11:58 AM,1347,1607,,
11:11:59 AM,1347,1557,,
11:12:00 AM,1303,1557,,
11:12:01 AM,1299,1603,,
11:12:02 AM,1307,1559,,
11:12:03 AM,1307,1559,,
11:12:04 AM,1343,1605,,
11:12:05 AM,1307,1605,,
11:12:06 AM,1331,1599,,
11:12:07 AM,1345,1599,,
11:12:08 AM,1309,1591,,
11:12:09 AM,1309,1591,,
11:12:10 AM,1309,1591,,
11:12:11 AM,1309,1591,,
11:12:12 AM,1309,1557,,
11:12:13 AM,1365,1557,,
11:12:14 AM,1321,1591,,
11:12:15 AM,1321,1551,,
11:12:16 AM,1369,1561,,
11:12:17 AM,1323,1601,,
11:12:18 AM,1311,1601,,
11:12:19 AM,1317,1555,,
11:12:20 AM,1317,1551,,
11:12:21 AM,1327,1603,,
11:12:22 AM,1359,1603,,
11:12:23 AM,1365,1599,,
11:12:24 AM,1315,1593,,
11:12:25 AM,1315,1593,,
11:12:26 AM,1313,1555,,
11:12:27 AM,1371,1555,,
11:12:28 AM,1371,1557,,
11:12:29 AM,1365,1547,,
11:12:30 AM,1365,1595,,
11:12:31 AM,1313,1547,,
11:12:32 AM,1343,1547,,
11:12:33 AM,1343,1591,,
11:12:34 AM,1317,1543,,
11:12:35 AM,1317,1545,,
11:12:36 AM,1319,1541,,
11:12:37 AM,1319,1593,,
11:12:38 AM,1319,1593,,
11:12:39 AM,1319,1591,,
11:12:40 AM,1359,1585,,
11:12:41 AM,1365,1609,,
11:12:42 AM,1367,1553,,
11:12:43 AM,1367,1595,,
11:12:44 AM,1323,1605,,
11:12:45 AM,1323,1605,,
11:12:46 AM,1363,1561,,
11:12:47 AM,1369,1553,,
11:12:48 AM,1369,1553,,
11:12:49 AM,1327,1553,,
11:12:50 AM,1327,1547,,
11:12:51 AM,1313,1595,,
11:12:52 AM,1323,1549,,
11:12:53 AM,1323,1595,,
11:12:54 AM,1321,1595,,
11:12:55 AM,1357,1557,,
11:12:56 AM,1327,1557,,
11:12:57 AM,1327,1549,,
11:12:58 AM,1327,1595,,
11:12:59 AM,1363,1551,,
11:13:00 AM,1327,1601,,
11:13:01 AM,1327,1545,,
11:13:02 AM,1531,1475,,
11:13:03 AM,1531,1475,,
11:13:04 AM,915,515,,
11:13:05 AM,151,337,,
11:13:06 AM,151,141,600,200
11:13:07 AM,273,271,800,
11:13:08 AM,733,849,,400
11:13:09 AM,651,919,,
11:13:10 AM,441,919,,
11:13:11 AM,441,919,,
11:13:12 AM,441,919,,
11:13:13 AM,441,919,,
11:13:14 AM,441,919,,
11:13:15 AM,441,919,,
11:13:16 AM,441,899,,
11:13:17 AM,441,899,,
11:13:18 AM,441,899,,
11:13:19 AM,441,899,,
11:13:20 AM,441,899,,
11:13:21 AM,441,899,,
11:13:22 AM,441,899,,
11:13:23 AM,441,899,,
11:13:24 AM,441,899,,
11:13:25 AM,441,899,,
11:13:26 AM,441,899,,
11:13:27 AM,441,899,,
11:13:28 AM,329,899,,
11:13:29 AM,329,899,,
11:13:30 AM,329,899,,
11:13:31 AM,329,899,,
11:13:32 AM,329,899,,
11:13:33 AM,329,899,,
11:13:34 AM,329,899,,
11:13:35 AM,329,899,,
11:13:36 AM,329,899,,
11:13:37 AM,329,899,,
11:13:38 AM,329,899,,
11:13:39 AM,329,899,,
11:13:40 AM,329,899,,
11:13:41 AM,329,899,,
11:13:42 AM,329,899,,
11:13:43 AM,765,821,,
11:13:44 AM,665,921,,
11:13:45 AM,925,961,,
11:13:46 AM,157,88,600,200
11:13:47 AM,84,88,,
11:13:48 AM,84,88,800,
11:13:49 AM,145,139,,
11:13:50 AM,535,139,,400
11:13:51 AM,583,465,,
11:13:52 AM,583,663,,
11:13:53 AM,905,445,,
11:13:54 AM,905,463,,
11:13:55 AM,905,463,,
11:13:56 AM,905,463,,
11:13:57 AM,905,463,,
11:13:58 AM,905,463,,
11:13:59 AM,905,463,,
11:14:00 AM,905,463,,
11:14:01 AM,905,463,,
11:14:02 AM,905,463,,
11:14:03 AM,905,463,,
11:14:04 AM,349,463,,
11:14:05 AM,349,463,,
11:14:06 AM,349,463,,
11:14:07 AM,349,463,,
11:14:08 AM,349,463,,
